Group,Sub_group,Population_2025,Percentage_in_country,Percentage_in_Africa,Language,Region,Sources,Ancient_Name,Description,Type_de_societe,Religion,Famille_linguistique,Statut_historique,Presence_regionale
Wolof,Wolof,7380000,41.0,0.516084,Wolof,"Dakar, Thiès, Saint-Louis","ANSD Sénégal, histoire wolof","Royaumes wolof (Jolof, Waalo, Cayor, Baol)","Groupe majoritaire, très urbanisé et commerçant",Urbaine & agricole,"Islam soufi (Tidjaniya, Mouridisme)",Atlantique (Niger-Congo),Empire du Jolof,"Sénégal, Gambie, Mauritanie"
Peul / Fulani,"Peul, Toucouleur",4500000,25.0,0.314685,Pulaar,"Nord, vallée du fleuve Sénégal (Fouta Toro)",Ethnologie sahélienne,"Royaumes Fouta Toro, empire toucouleur",Pasteurs et cultivateurs islamisés tôt,Pastorale & agro-pastorale,Islam,Atlantique (Fulani),Fouta Toro / Empire toucouleur,"Sénégal, Mali, Mauritanie"
Sérère,"Sine, Saloum, Ndut, Safène",2700000,15.0,0.188811,Sérère,"Centre-Ouest (Fatick, Kaolack)",Histoire sereer,Royaumes du Sine et du Saloum,Peuple agricole ancien non islamisé à l’origine,Sédentaire agricole,Islam + Christianisme + traditions,Niger-Congo (Cangin),Royaumes Sine & Saloum,Sénégal
Diola / Jola,"Diola du Fogny, Casamance",900000,5.0,0.062937,Jola,Casamance (Ziguinchor),Anthropologie casamançaise,Chefferies Diola,"Peuple agricole et forestier, structures égalitaires",Forestière & sédentaire,Islam + Christianisme + traditions,Niger-Congo,Chefferies Diola,"Sénégal, Gambie, Guinée-Bissau"
Mandinka / Mandingue,"Mandinka, Bambara",720000,4.0,0.05035,Mandinka,"Est (Tambacounda, Kédougou)",Sources mandingues,Empire du Mali,Commerçants et agriculteurs islamisés depuis longtemps,Sédentaire,Islam,Mandé,Empire du Mali,"Sénégal, Gambie, Mali"
Soninké,Sarakhollé,360000,2.0,0.025175,Soninké,"Vallée du fleuve Sénégal, Est",Histoire soninké,Empire du Ghana,Peuple ancien du commerce transsaharien,Agro-pastorale & commerçante,Islam,Mandé,Empire du Ghana,"Mali, Mauritanie, Sénégal"
Groupes casamançais,"Balante, Mancagne, Papel",180000,1.0,0.012587,Diverses langues,Casamance,Anthropologie,Chefferies traditionnelles,Peuples de forêt et de côte,Sédentaire,Christianisme + traditions,Niger-Congo,Chefferies locales,Sénégal
Lébou,Lébou,90000,0.5,0.006294,Wolof-Lébou,Dakar (presqu'île du Cap-Vert),Histoire lébou,République lébou (ancienne organisation),"Pêcheurs, propriétaires traditionnels de Dakar",Côtière urbaine,Islam soufi,Niger-Congo,Communautés Lébou,Sénégal
Peuples autochtones,"Bassari, Bedik",90000,0.5,0.006294,"Bassari, Bedik",Kédougou,Ethnologie,Groupes pré-mandingues,Peuples montagnards autochtones,Montagnarde,Traditions + Christianisme,Niger-Congo,Groupes autochtones,Sénégal
Autres,Communautés diverses,180000,1.0,0.012587,Diverses langues,National,ANSD estimations,Divers royaumes,Groupes minoritaires,Variable,Islam / Christianisme / traditions,Divers,Divers,Sénégal
